Top queries,Clicks,Impressions,CTR,Position
concentration camps in europe,609,1345,0.4528,1.0
the final solution ww2,608,2668,0.2279,1.03
adolf eichmann trial,608,2526,0.2407,1.15
holocaust years,606,18837,0.0322,2.49
jasenovac,605,17934,0.0337,4.21
what was hitler youth,604,2304,0.2622,1.12
what were some of the stages implemented as part of the final solution,604,1557,0.3879,1.0
when they came for me,604,966,0.6253,1.02
what religion were the nazis,602,7903,0.0762,2.03
how long was world war 2,601,37924,0.0158,1.41
what was hitler’s final solution?,600,4120,0.1456,1.02
who were the ss,598,5997,0.0997,1.8
why was gas chosen as the preferred method to kill people?,598,2307,0.2592,1.0
nazi gas chambers,597,8869,0.0673,2.96
el holocausto,597,5145,0.116,1.96
how many people were killed by hitler,597,1693,0.3526,1.04
why did the nazis begin using gas chambers instead of mobile killing units  and shooting squads after a while?,596,2309,0.2581,1.0
nazi ideology,594,12359,0.0481,3.41
origin of the swastika,594,7121,0.0834,2.99
ghetto ww2,594,4307,0.1379,1.07
bayer ww2,594,1726,0.3441,1.5
what methods did the nazis use to separate jewish people and other targeted  groups from the rest of the population?,593,4049,0.1465,1.0
what was said and planned by key germans at the wannsee conference?,593,1947,0.3046,1.06
why were they called concentration camps,593,1833,0.3235,1.37
life in the ghettos,593,1551,0.3823,1.0
buchenwald camp,592,3606,0.1642,1.95
ghettos ww2,592,3439,0.1721,1.06
hans frank,591,37244,0.0159,5.24
what are the ss? what did they do to people who opposed the nazis?,590,3538,0.1668,1.05
nazi eugenics,589,5440,0.1083,2.55
volkswagen ww2,589,2358,0.2498,1.12
concetration camps,588,4086,0.1439,1.16
holocaust map,588,3139,0.1873,1.0
nazi death marches,588,1360,0.4324,1.0
how did hitler gain power,587,8091,0.0725,3.16
nazi final solution,586,2592,0.2261,1.17
ww2 map of europe,585,20486,0.0286,1.02
how many jews were killed in world war ii,585,3656,0.16,1.95
ravensbrück concentration camp,585,2369,0.2469,1.28
when was kristallnacht,583,16858,0.0346,2.13
what was the purpose of the nuremberg laws,583,3475,0.1678,1.08
who was heinrich himmler,582,5300,0.1098,2.0
stutthof,581,3757,0.1546,3.34
jewish question,578,6958,0.0831,2.31
what laws excluded the jews from public life in germany,578,2406,0.2402,1.0
concentration camp pictures,577,6040,0.0955,2.37
the warsaw ghetto,577,2530,0.2281,1.28
what were the ghettos,577,2333,0.2473,1.1
holocaust medical experiments,577,1369,0.4215,1.04
who did the nazis begin using poisonous gas on in 1939?,576,2894,0.199,1.02
natzweiler-struthof concentration camp,576,2335,0.2467,1.97
auschwitz birkenau,575,25745,0.0223,6.84
stefan baretzki,574,12669,0.0453,6.18
what is the third reich,572,17964,0.0318,2.97
gerda weissmann,572,12376,0.0462,4.19
bayer dark history,572,4583,0.1248,2.92
who liberated dachau,572,3114,0.1837,2.64
the wannsee conference,572,2510,0.2279,1.13
german blitzkrieg,570,7747,0.0736,1.79
timeline of holocaust,569,1557,0.3654,1.54
martin niemoller quotes,568,1143,0.4969,1.51
ww2 start,567,71594,0.0079,1.57
when was hitler in power,567,37817,0.015,3.4
nazi youth,566,6500,0.0871,1.54
holocaust information,566,4532,0.1249,1.98
flossenbürg concentration camp,565,5558,0.1017,2.52
how many jewish people did hitler kill,565,1767,0.3198,1.02
aryan race meaning,564,4857,0.1161,1.67
bergen belson,564,3253,0.1734,1.35
who was josef mengele,562,2996,0.1876,1.68
were nazis christian,561,6538,0.0858,1.72
how were the jews of eastern and western europe different? what two  european countries had the largest jewish population just before world war  ii?,561,2080,0.2697,1.01
ms st. louis,560,3595,0.1558,1.09
why did the death marches happen?,560,1946,0.2878,1.01
hitler death toll,559,2402,0.2327,1.04
when was the first concentration camp liberated,558,2886,0.1933,1.45
how long did world war 2 last,556,36140,0.0154,1.28
höcker album,556,1057,0.526,1.28
what percent of jews died in the holocaust,555,1305,0.4253,1.05
nazi women,554,5078,0.1091,1.16
how many jews were killed in holocaust,553,4087,0.1353,1.78
how did the 1935 nuremberg laws affect german jews?,553,2908,0.1902,1.0
nazi timeline,552,1258,0.4388,1.02
children during the holocaust,551,1312,0.42,1.01
hitler speeches,550,8677,0.0634,6.12
what was the final solution in ww2,550,2185,0.2517,1.01
anne frank story,549,14955,0.0367,3.56
jewish concentration camp,549,6999,0.0784,1.3
what types of books were burned by the nazis starting in 1933?,549,2788,0.1969,1.05
aryan hitler,547,3824,0.143,1.05
what did the ss do,546,1903,0.2869,1.0
mobile killing squads,546,1762,0.3099,1.0
max rosenblat,546,1718,0.3178,1.01
concentration camps during the holocaust,544,1396,0.3897,1.02
nazi germany map,542,24259,0.0223,3.86
how many people died in the concentration camps,541,1445,0.3744,1.0
why did the germans force the evacuation of many of the concentration camps,541,1294,0.4181,1.07
how many died in concentration camps,541,1165,0.4644,1.0
auschwitz camp,539,15412,0.035,3.4
how were the jews of eastern and western europe different?,537,1575,0.341,1.11
the ritchie boys,536,7036,0.0762,4.37
death marches in the holocaust,536,1462,0.3666,1.0
map of europe ww2,534,12242,0.0436,1.01
how many jews were killed,534,9519,0.0561,1.99
the death march,533,2521,0.2114,1.04
1936 berlin olympics,532,14860,0.0358,4.24
anne frank early life,532,3626,0.1467,1.24
treblinka concentration camp,532,2631,0.2022,1.57
why did hitler invade poland,531,43518,0.0122,4.64
how many people died from hitler,531,2031,0.2614,1.03
who did the nazis kill,530,2999,0.1767,1.04
bayer holocaust,529,1139,0.4644,1.01
how were ghettos used just before and during wwii,528,1816,0.2907,1.02
concentration camps during ww2,528,1213,0.4353,1.06
how did the holocaust end,527,27234,0.0194,3.1
what did the nuremberg race laws do,526,1861,0.2826,1.0
treblinka camp,525,3522,0.1491,1.9
nazi germany propaganda,525,2233,0.2351,1.0
how dr. mengele believe the secrets of heredity would help the nazi ideal  of the future?,524,2439,0.2148,1.0
war guilt clause,523,42191,0.0124,1.41
101st airborne ww2,523,24255,0.0216,4.15
what was the beer hall putsch,523,7964,0.0657,1.38
numberg laws,523,3370,0.1552,1.12
ghetto holocaust definition,522,2241,0.2329,1.2
euthanasia program,521,2467,0.2112,1.12
what two european countries had the largest jewish population just before  world war ii?,520,2150,0.2419,1.04
quien fue hitler,520,1958,0.2656,1.43
the holocost,518,6441,0.0804,1.58
how many jews were murdered during the holocaust,517,3989,0.1296,1.53
where were concentration camps,516,1198,0.4307,1.0
aryan nazi,515,5301,0.0972,1.15
what was the purpose of the nuremberg laws?,515,4729,0.1089,1.07
hitler invades poland,513,17873,0.0287,2.26
when were the nuremberg laws passed,513,1994,0.2573,1.02
nuremburg race laws,513,1465,0.3502,1.14
joseph gani,513,1352,0.3794,1.0
what did the nazis force millions of polish and soviet prisoners to do?,513,1020,0.5029,1.01
where do gypsies come from,512,18776,0.0273,1.47
what was the final solution in the holocaust,512,1263,0.4054,1.0
how many children were killed in the holocaust,511,1415,0.3611,1.0
how many soviet prisoners of war did the nazis murder during world war ii?,511,1018,0.502,1.0
nazi,510,685772,0.0007,10.27
lebensborn children,510,2182,0.2337,1.98
how did the nazis come to power,510,1200,0.425,1.05
aryans,509,111825,0.0046,5.32
hitler's speech in german,509,4589,0.1109,4.11
enabling act 1933,509,4559,0.1116,3.56
holocaust death marches,509,1333,0.3818,1.0
what is a death march,508,4555,0.1115,1.55
nazi ghettos,507,2617,0.1937,1.31
how many nazi concentration camps were there,507,1627,0.3116,1.37
poland map 1939,507,1167,0.4344,1.0
first they came for the quote,507,825,0.6145,1.29
map of europe during ww2,505,10108,0.05,1.03
auschwitz pictures,505,3686,0.137,2.2
what was the nuremberg laws,505,3377,0.1495,1.11
moishe felman,505,1527,0.3307,1.0
why did hitler burn books,505,1301,0.3882,1.07
liberation holocaust,505,1203,0.4198,1.08
magdalena kusserow,504,1618,0.3115,1.01
how many jewish people were killed in the holocaust,501,5239,0.0956,1.94
what happened during the armenian genocide,501,1304,0.3842,1.0
gerda weissmann klein,500,15008,0.0333,4.88
songs about the holocaust,500,2732,0.183,1.95
what types of people were usually the first to die at a concentration camp?,498,1991,0.2501,1.08
how did the holocaust start,497,17325,0.0287,4.12
hitler comes to power,497,2569,0.1935,1.6
what happened in the concentration camps,497,1142,0.4352,1.02
at first they came for,497,758,0.6557,1.03
map of europe 1940,496,3592,0.1381,1.09
the aftermath of the holocaust,496,954,0.5199,1.0
nuremberg trial,495,136878,0.0036,11.81
holocaust death march,495,1427,0.3469,1.04
oradour-sur-glane,494,20385,0.0242,5.33
when did the armenian genocide start and end,494,8990,0.0549,2.31
when did the nazis come to power,494,3416,0.1446,1.22
how many people did hilter kill,494,1491,0.3313,1.0
quien fue hitler y que hizo,494,1192,0.4144,1.01
martin bormann,493,96952,0.0051,6.55
black nazis,493,7951,0.062,2.05
protocols of the learned elders of zion,493,4939,0.0998,2.5
kristallnact,493,4637,0.1063,1.5
armenian massacre,493,4427,0.1114,2.15
holocuast,492,16512,0.0298,1.53
terezin concentration camp,490,9844,0.0498,3.5
concentration camp dachau,490,3897,0.1257,1.87
how did the us respond to the holocaust,489,1281,0.3817,1.0
sudetenland,488,154620,0.0032,7.91
rise of nazism,488,3289,0.1484,1.17
what did josef mengele do,488,3110,0.1569,2.24
holocaust dictionary,488,1265,0.3858,2.41
what does ss stand for,487,42313,0.0115,1.49
dachau liberation,487,3197,0.1523,3.07
hitler youth program,487,1687,0.2887,1.06
german death camps,487,1362,0.3576,1.35
the axis powers,486,30717,0.0158,1.58
malmedy massacre,485,33445,0.0145,5.07
how many people did the holocaust kill,485,2014,0.2408,1.07
"according to the nuremberg laws of 1935, how did the german government  decide if someone was jewish?",485,1578,0.3074,1.0
what happened during the holocaust,484,13419,0.0361,3.69
what were nuremberg laws,484,3624,0.1336,1.15
gross rosen,484,2541,0.1905,2.07
1936 olympics opening ceremony,483,4731,0.1021,2.22
international military tribunal,483,4016,0.1203,1.68
rise of the nazi party,483,1574,0.3069,1.13
sonderkommandos,482,2754,0.175,1.24
how many countries did germany invade in ww2,482,2045,0.2357,1.67
when was the first concentration camp built,482,1407,0.3426,1.0
what levels of german society were most drawn to hitler and the nazi party?,479,3442,0.1392,1.58
mengele experiments,479,3267,0.1466,2.94
what was the holocaust?,478,47410,0.0101,2.49
ghetto,477,581920,0.0008,7.37
origin of swastika,477,6230,0.0766,3.25
how many jewish people were killed during the holocaust,477,4719,0.1011,1.86
quote first they came for the socialists,477,648,0.7361,1.0
the nazi party,476,9636,0.0494,3.55
history of swastika,476,3369,0.1413,2.99
list out the 6 extermination camps.,476,1402,0.3395,1.05
who was adolf eichmann,475,3135,0.1515,1.85
concentration camp facts,475,1829,0.2597,1.22
location of concentration camps,475,726,0.6543,1.02
invasion of poland ww2,474,18150,0.0261,2.97
auschwitz layout,474,1010,0.4693,1.0
operation torch,473,121316,0.0039,8.34
berlin olympics,473,40379,0.0117,5.01
what happened during kristallnacht?,473,5053,0.0936,1.48
what fraction of european jews were killed by the nazis and their allies,473,1851,0.2555,1.0
the nuremburg laws,472,1939,0.2434,1.14
holocaust topics,472,1398,0.3376,1.07
book burning in nazi germany,472,1198,0.394,1.08
der ewige jude,471,5904,0.0798,2.45
holocaust encylopedia,471,637,0.7394,1.0
the holocaust start date,470,15684,0.03,2.22
when was holocaust,470,11713,0.0401,2.05
hitler's propaganda,470,1921,0.2447,1.0
they came for the and i said nothing,470,717,0.6555,1.02
sachsenhausen,469,23152,0.0203,6.71
jewish religion,468,109437,0.0043,7.8
berlin olympics 1936,468,21673,0.0216,5.08
how many people with physical and mental disabilities did the nazi  government murder between 1939 and 1945?,468,1137,0.4116,1.01
nazi-soviet pact,467,15129,0.0309,1.57
what did the german government require of jews in german society?,467,1582,0.2952,1.0
genocide,466,527487,0.0009,5.9
la guerra civil española,466,4212,0.1106,2.32
explain how the nazis began to put their racial ideology into practice.,466,2149,0.2168,1.01
how many jews were left after the holocaust,465,836,0.5562,1.0
how many jewish people died in ww2,464,2714,0.171,1.59
when did concentration camps start,464,2565,0.1809,1.22
the ghettos,464,2409,0.1926,1.11
dr.mengele,463,3606,0.1284,2.0
rommel,461,127301,0.0036,7.16
who committed the armenian genocide,459,1992,0.2304,1.52
terezin,458,24963,0.0183,7.19
why did kristallnacht happen,458,4458,0.1027,2.46
haj amin al-husseini,457,14497,0.0315,3.73
what was mein kampf about,457,4216,0.1084,1.49
nazi censorship,457,1033,0.4424,1.0
why did japan join ww2,455,6891,0.066,1.13
what countries did germany invade in ww2,455,5907,0.077,2.0
what percent of jews were killed in the holocaust,455,1043,0.4362,1.31
yellow star of david,454,9092,0.0499,2.4
nuremberg laws of 1935,454,1831,0.248,1.18
jakob frenkiel,454,1687,0.2691,1.02
bayer nazis,454,1235,0.3676,1.17
holocaust deaths by country,454,662,0.6858,1.0
was karl marx jewish,453,16573,0.0273,5.65
white rose movement,453,4437,0.1021,3.07
how many jews died during ww2,453,2682,0.1689,1.63
nazi propaganda and censorship,453,939,0.4824,1.0
gestapo vs ss,452,20526,0.022,2.79
what happened in the armenian genocide,452,1168,0.387,1.01
what was the final solution holocaust,452,1061,0.426,1.0
righteous among the nations,451,7923,0.0569,3.18
genocide in darfur,451,5894,0.0765,2.5
where were the first ghettos set up,451,2563,0.176,1.33
ohrdruf concentration camp,451,1744,0.2586,2.27
holocaust time line,451,1322,0.3411,1.67
vel d hiv,451,1296,0.348,1.27
ss germany,450,11449,0.0393,2.23
life after the holocaust,450,1002,0.4491,1.0
what was hitler’s “final solution”?,449,4510,0.0996,1.01
theresienstadt ghetto,449,2228,0.2015,1.24
dorotka goldstein,449,1476,0.3042,1.0
what were jewish ghettos,449,1448,0.3101,1.02
holocaust encyclopedia wikipedia,449,880,0.5102,1.94
kielce pogrom,448,1925,0.2327,1.48
events of the holocaust,448,1097,0.4084,1.29
when was auschwitz liberated,447,37244,0.012,3.83
ivo herzer,447,1479,0.3022,1.0
nazi racial ideology,446,1690,0.2639,1.06
dora rivkina,446,1332,0.3348,1.0
they came for,446,703,0.6344,1.05
operation barbarossa,445,202372,0.0022,7.59
what was the goal of hitler's final solution,445,3094,0.1438,1.0
reichstag moment,444,3227,0.1376,2.19
ohrdruf,444,3090,0.1437,2.6
what were the death marches?,444,1414,0.314,1.01
marcus fass,444,1360,0.3265,1.0
heydrich,443,54164,0.0082,5.52
what was the enabling act,443,5936,0.0746,1.23
who were the victims of the ss special action squads? how did they kill  their victims?,443,1435,0.3087,1.0
they came for and i said nothing,443,675,0.6563,1.02
policy of appeasement,442,15975,0.0277,1.51
liberation of buchenwald,442,1768,0.25,2.28
how many survivors of the holocaust lived in displaced persons camps after  the end of the holocaust and world war ii?,442,923,0.4789,1.02
and when they came for me,442,642,0.6885,1.03
encyclopedia holocaust,442,550,0.8036,1.0
how long was hitler in power,440,32705,0.0135,4.22
who are the nazis,439,4988,0.088,1.92
hitler appointed chancellor,439,4367,0.1005,1.89
nazi high command,439,2991,0.1468,1.43
kinder transport,439,2855,0.1538,2.08
timeline of world war 2,438,7162,0.0612,3.49
munich conference,437,125465,0.0035,4.89
how many jew died in the holocaust,437,1923,0.2272,1.26
holocausto,436,30944,0.0141,3.94
approximately what percentage of all jewish people living in europe were  killed during the holocaust?,436,14317,0.0305,1.44
what is blood libel,436,13526,0.0322,2.79
hitlers speech,435,7968,0.0546,4.97
jewish propaganda,434,6401,0.0678,1.0
nazi doctors,434,3775,0.115,3.25
oneg shabbat,434,3299,0.1316,1.71
sobibor camp,434,2271,0.1911,1.62
how many people were killed by the nazis,434,934,0.4647,1.0
ritchie boys ww2,433,2802,0.1545,1.47
how long ago was the holocaust,432,22226,0.0194,2.46
hitler death count,432,1735,0.249,1.01
what did the nazis believe about race,432,1388,0.3112,1.0
holocast,431,18741,0.023,1.87
gypsy history,431,6873,0.0627,1.46
holocaust shoes,431,4119,0.1046,1.0
night of broken glass ghatna kya hai,431,1421,0.3033,1.08
when did the first concentration camp open,431,1254,0.3437,1.05
holocaust final solution,431,1217,0.3541,1.0
abba kovner,430,8816,0.0488,3.32
map of nazi occupation,429,1219,0.3519,1.2
paul von hindenburg,428,67190,0.0064,5.58
mauthausen concentration camp,428,10717,0.0399,3.56
was hitler a facist,428,8144,0.0526,2.29
where was the holocaust located,428,4804,0.0891,2.26
anti jewish propaganda,428,4376,0.0978,1.09
what methods did the nazis use to carry out the extermination of jewish  people and other targeted groups?,428,2504,0.1709,1.0
when were the concentration camps liberated,428,1884,0.2272,1.76
hitler killed how many,428,1214,0.3526,1.0
what was the largest killing center,428,1008,0.4246,1.02
what year did ww2 start,427,64265,0.0066,1.16
about the holocaust,427,4389,0.0973,1.98
what is aryan race,427,3811,0.112,1.9
what books did nazis burn,427,3566,0.1197,2.73
bergen belsen camp,427,1919,0.2225,1.02
krystallnacht,426,4606,0.0925,1.95
gas chambers holocaust,426,4010,0.1062,2.38
how many killed in holocaust,426,1376,0.3096,1.01
gideon boissevain,425,1517,0.2802,1.27
women in the holocaust,424,1199,0.3536,1.13
appeasement,423,569274,0.0007,7.99
auschwitz tattoo,423,10728,0.0394,3.09
kurt gerstein,423,3331,0.127,2.97
vilna ghetto,423,1847,0.229,1.15
how did the nazi government try to force jewish people to emigrate from  germany before world war ii?,423,968,0.437,1.04
ss officer,422,31997,0.0132,2.24
how many concentration camps did the nazis have,422,937,0.4504,1.01
how many armenians died in the genocide,420,1842,0.228,1.25
rosenstrasse protest,419,1393,0.3008,1.33
why did the nazis have death marches during the final months of the war?,419,778,0.5386,1.0
holocaust quote first they came,419,567,0.739,1.03
gestapo definition,418,84638,0.0049,3.97
der sturmer,418,12628,0.0331,2.89
what did nazis do,418,1874,0.2231,1.14
what was the warsaw ghetto uprising,418,1489,0.2807,1.4
how did the nazis use propaganda,418,1442,0.2899,1.0
wwii concentration camps,418,962,0.4345,1.05
escape from sobibor,417,23180,0.018,9.98
why was japan in ww2,417,6849,0.0609,1.36
article 48,417,5203,0.0801,1.58
who was in charge of the concentration camps,417,2301,0.1812,1.98
star of david holocaust,417,1835,0.2272,1.0
who is anne frank,416,73572,0.0057,7.79
plaszow,416,4787,0.0869,2.02
what happened on kristallnacht?,416,2321,0.1792,1.08
holocaust aftermath,415,1018,0.4077,1.0
what was the aftermath of the holocaust,415,818,0.5073,1.03
sachsenhausen concentration camp,414,14239,0.0291,5.22
concentration camp ww2,414,2690,0.1539,1.02
einsatzgruppe,412,37678,0.0109,4.29
when did hitler come into power,412,7865,0.0524,2.29
flossenburg,412,2389,0.1725,1.74
hitler's youth,412,2239,0.184,1.44
reichstag fire 1933,412,2003,0.2057,2.57
the nuremberg race laws,412,1178,0.3497,1.0
how did hitler come into power,411,3169,0.1297,2.75
operation spring wind,411,2854,0.144,2.68
what happened to half of the survivors of auschwitz within a few days of  being freed?,411,2067,0.1988,1.02
the bielski brothers,410,1810,0.2265,1.81
