Top queries,Clicks,Impressions,CTR,Position
охарактеризуйте все этапы второй мировой войны,81,495,0.1636,3.25
гитлер пришел к власти,81,418,0.1938,1.97
германский нацизм нарастание агрессии в мире кратко,81,380,0.2132,2.43
когда пришли за я молчал,81,298,0.2718,3.64
страны участницы первой мировой войны,81,195,0.4154,1.02
как сжигали евреев в лагерях,81,174,0.4655,1.15
почему были гонения на евреев,81,112,0.7232,1.12
гимн фашистской германии,80,5184,0.0154,7.37
германия напала на ссср,80,888,0.0901,1.07
история первой мировой войны,80,841,0.0951,5.17
гитлер гей,80,307,0.2606,2.42
участники первой мировой,80,238,0.3361,1.28
первая мировая война история,80,213,0.3756,3.75
происхождение свастики,80,181,0.442,1.37
евреи фото,79,15567,0.0051,6.15
первая мировая война годы,79,11245,0.007,6.04
нюрнбергский процесс кратко,79,7302,0.0108,8.96
концентрационные лагеря,79,2607,0.0303,4.16
к чему призывал немцев гитлер,79,457,0.1729,1.35
версальский договор кратко,79,193,0.4093,1.69
ход событий второй мировой войны,79,120,0.6583,1.0
фото из концлагерей,79,117,0.6752,1.14
сообщение про первую мировую войну,79,107,0.7383,1.0
до куда дошли немцы в ссср,78,687,0.1135,1.89
концлагерь в германии,78,558,0.1398,1.54
как началась 2 мировая война,78,311,0.2508,2.92
сколько человек убил гитлер,78,295,0.2644,2.48
гитлер в париже фото,78,199,0.392,1.0
почему гитлер хотел убить евреев,78,144,0.5417,1.11
почему немцы сжигали евреев,78,134,0.5821,1.1
воспоминания женщин из концлагерей,78,113,0.6903,1.0
антанта это,77,14927,0.0052,9.19
почему евреев выгоняли,77,1087,0.0708,2.8
союзники германии в первой мировой войне,77,712,0.1081,3.37
используя карту составьте таблицу основные события 1939 начала 1941,77,407,0.1892,2.99
холокост сколько погибло,77,182,0.4231,2.21
резня армян турками,77,131,0.5878,1.15
арийцы какие народы,76,8046,0.0094,5.2
когда закончилась 2 мировая,76,7467,0.0102,3.0
когда ссср напал на польшу,76,529,0.1437,1.01
дахау кто освободил,76,436,0.1743,2.18
вторая мировая кратко,76,198,0.3838,5.37
сообщение на тему первая мировая война,76,117,0.6496,1.0
дата рождения гитлера,75,16696,0.0045,1.75
итоги второй мировой войны,75,14255,0.0053,8.74
концентрационный лагерь,75,11691,0.0064,4.24
нападение ссср на польшу,75,1372,0.0547,4.49
нацисткие туалеты,75,171,0.4386,1.56
история геноцида армян,75,101,0.7426,1.02
гитлер адольф,74,9948,0.0074,4.86
януш корчак,74,7522,0.0098,9.67
секс гомосексуалистов,74,573,0.1291,4.71
нацизм в германии,74,460,0.1609,2.79
какие страны воевали в первой мировой войне,74,238,0.3109,1.08
участники 2 мировой войны,74,223,0.3318,1.81
реферат на тему первая мировая война,74,122,0.6066,1.42
холокост доклад,74,110,0.6727,1.0
кого истреблял гитлер,74,102,0.7255,1.0
в каком году началась первая мировая война,73,21985,0.0033,4.65
кто победил в первой мировой войне,73,13392,0.0055,6.72
почему началась вторая мировая война,73,2243,0.0325,4.15
кто воевал на стороне германии,73,446,0.1637,3.27
нюрнбергский процесс фото,73,182,0.4011,2.07
протоколы сионских мудрецов читать онлайн бесплатно,73,154,0.474,2.82
стороны в первой мировой войне,73,113,0.646,1.09
что значит свастика,72,2002,0.036,1.06
дахау концлагерь,72,1988,0.0362,4.1
концлагеря названия,72,1132,0.0636,3.38
концлагерь фото,72,141,0.5106,1.56
какие концлагеря освободили американцы,72,120,0.6,1.06
годы 2 мировой войны,71,2649,0.0268,1.04
что такое расист,71,2189,0.0324,4.07
основные события первой мировой войны,71,1262,0.0563,6.79
берген бельзен,71,1238,0.0574,3.47
союзники гитлера,71,710,0.1,3.18
майн кампф скачать,71,660,0.1076,6.22
какая война была в 1914 году,71,642,0.1106,1.15
лагерь аушвиц,71,484,0.1467,2.93
вторжение германии в ссср,71,342,0.2076,1.73
второй этап второй мировой войны,71,266,0.2669,3.2
когда они пришли за мной,71,224,0.317,3.08
какие факторы способствовали быстрому захвату европейских государств  германией?,71,211,0.3365,1.01
какое государство совершило нападение кто стоял во главе,71,192,0.3698,1.0
гитлер приход к власти,71,107,0.6636,1.17
хронологическая таблица 2 мировой войны,71,104,0.6827,1.0
евреи,70,69307,0.001,8.96
др гитлера,70,27741,0.0025,2.62
1 мировая,70,16477,0.0042,5.75
сколько длилась первая мировая война,70,8058,0.0087,4.89
свастика немецкая,70,5487,0.0128,3.95
начало второй мировой войны в ссср,70,5165,0.0136,6.96
из за чего началась 1 мировая война,70,435,0.1609,1.06
геббельсовская пропаганда,70,165,0.4242,1.01
антанта участники,69,964,0.0716,1.06
кто освободил бухенвальд,69,733,0.0941,2.64
редкие фото из концлагерей,69,332,0.2078,4.07
речь адольфа гитлера,69,272,0.2537,3.57
нюрнбергские расовые законы,69,271,0.2546,2.75
откуда появилась свастика,69,210,0.3286,1.15
лагерь бухенвальд,69,205,0.3366,3.99
нападение гитлера на ссср,69,159,0.434,2.61
первая мировая война в кратце,69,79,0.8734,1.0
когда закончилась первая мировая,68,6699,0.0102,1.69
какое из этих государств официально входило в число союзников гитлеровской  германии в годы великой отечественной войны? финляндия швеция дания норвегия,68,6088,0.0112,4.63
когда была закончена первая мировая война,68,4289,0.0159,2.81
как немцы называли евреев,68,144,0.4722,1.21
причины прихода гитлера к власти,68,131,0.5191,1.0
свастика история,68,113,0.6018,2.49
расистка,67,14770,0.0045,3.96
причины 1 мировой войны,67,10492,0.0064,6.91
начало 1 мировой войны,67,9638,0.007,5.73
начальный период второй мировой войны,67,1579,0.0424,5.17
кто такой рассист,67,640,0.1047,3.53
ссср напала на польшу,67,299,0.2241,1.72
где находился освенцим,67,236,0.2839,1.19
названия концлагерей,67,217,0.3088,1.62
фото геноцида армян 1915,67,155,0.4323,1.0
фашистская свастика фото,67,136,0.4926,1.03
вторая мировая война кратко основные события,67,104,0.6442,2.26
доклад про гитлера,67,85,0.7882,1.0
антисемиты,66,4492,0.0147,2.16
ход первой мировой войны,66,1689,0.0391,7.3
гей.сс,66,937,0.0704,2.9
страны союзники германии во второй мировой,66,376,0.1755,2.58
кто напал на польшу в 1939,66,191,0.3455,1.26
сочинение про расизм,66,145,0.4552,1.08
почему турки вырезали армян,66,113,0.5841,1.01
майнкампф,65,5271,0.0123,4.56
1915,65,3731,0.0174,5.55
концлагерь аушвиц,65,623,0.1043,3.09
какие политические силы могли противостоять нацистам,65,207,0.314,1.57
евреев сжигали заживо,65,152,0.4276,1.01
карательные отряды сс,65,140,0.4643,1.01
подсудимые нюрнбергского процесса,65,117,0.5556,1.04
малые нюрнбергские процессы,65,112,0.5804,2.2
приход гитлера к власти кратко,65,93,0.6989,1.0
адольф гитлер краткая биография,65,92,0.7065,1.68
краткое содержание первой мировой войны,65,78,0.8333,1.0
гитлер это,64,6033,0.0106,3.49
имя гитлера,64,3013,0.0212,1.17
варшавское гетто,64,2339,0.0274,3.74
в каком году был геноцид армян,64,489,0.1309,1.26
марш смерти 1945,64,203,0.3153,2.0
речь гитлера на немецком текст,64,165,0.3879,3.8
кто с кем воевал в первую мировую войну?,64,131,0.4885,1.17
почему гитлер использовал свастику,64,91,0.7033,1.04
гитлер фото,63,10298,0.0061,4.65
когда началась вторая мировая война в ссср,63,9626,0.0065,5.38
первая мировая война даты,63,6368,0.0099,6.42
рассизм,63,5185,0.0122,3.04
антигитлеровская коалиция,63,3391,0.0186,2.12
расисты это,63,972,0.0648,3.04
почему евреев гнали со всех стран,63,673,0.0936,2.34
между кем была первая мировая война,63,461,0.1367,1.18
страны первой мировой войны,63,191,0.3298,1.03
свастика откуда появилась,63,180,0.35,1.18
как пришел к власти гитлер,63,79,0.7975,1.0
бойкот,62,112050,0.0006,8.16
окопная война,62,1170,0.053,2.32
с кем воевали в первую мировую войну,62,250,0.248,1.1
кто с кем воевал в первой мировой войне,62,131,0.4733,1.09
почему немцы были так жестоки,62,103,0.6019,1.08
ключевые даты второй мировой войны,62,97,0.6392,1.65
1 мировая война конспект,62,80,0.775,1.0
вторая мировая основные события,62,78,0.7949,1.45
как гитлер пришел к власти кратко,62,72,0.8611,1.0
в каком году гитлер пришел к власти,61,2867,0.0213,2.1
ремилитаризация рейнской области,61,1764,0.0346,3.81
союзники германии в великой отечественной войне,61,736,0.0829,2.67
раздел польши 1939 кратко,61,222,0.2748,2.88
газовые камеры в концлагерях,61,219,0.2785,2.93
список концлагерей,61,163,0.3742,1.94
сначала они пришли за,61,154,0.3961,2.92
откуда взялась свастика,61,151,0.404,1.07
нападал ли ссср на польшу,61,123,0.4959,1.02
бабий яр кто расстреливал,61,115,0.5304,1.89
знак свастики,60,16471,0.0036,4.42
геноцид армян год,60,621,0.0966,1.87
геноцид армян кто остановил,60,362,0.1657,2.58
концлагеря вов,60,360,0.1667,3.43
зачем германия напала на ссср,60,226,0.2655,1.31
сколько стран захватил гитлер,60,156,0.3846,1.03
какие страны были оккупированы германией,60,105,0.5714,1.05
геноцид армян причины,60,101,0.5941,1.06
почему турки устроили геноцид армян,60,82,0.7317,1.06
особенности первой мировой войны,59,584,0.101,3.12
ангел смерти освенцим,59,370,0.1595,2.12
каким газом травили немцы,59,313,0.1885,1.14
львовский погром 1941,59,272,0.2169,2.07
19 апреля 1943,59,218,0.2706,1.47
с чего началась 1 мировая война,59,181,0.326,1.1
как сжигали людей в концлагере,59,170,0.3471,1.0
нападение германии на францию,59,161,0.3665,1.52
первая мировая итоги,59,147,0.4014,1.01
какие страны завоевал гитлер,59,112,0.5268,1.02
свастика происхождение,59,109,0.5413,1.25
эксперименты йозефа менгеле,59,107,0.5514,2.4
важные события второй мировой войны,59,103,0.5728,2.03
речь гитлера запись,59,84,0.7024,1.42
почему начался холокост,59,73,0.8082,1.01
1 сентября 1939,58,10245,0.0057,5.58
holocaust,58,8211,0.0071,3.7
ванзейская конференция,58,4293,0.0135,4.69
политика умиротворения,58,3137,0.0185,4.81
17 сентября 1939,58,3089,0.0188,4.89
надпись на воротах освенцима,58,1866,0.0311,2.36
геноцид цыган,58,1186,0.0489,3.74
как закончилась вторая мировая война в европе,58,519,0.1118,3.36
плётцензее,58,358,0.162,2.71
почему началась 1 мировая война,58,337,0.1721,1.09
англия во второй мировой войне кратко,58,264,0.2197,2.97
карательные отряды,58,132,0.4394,2.14
последствия первой мировой войны для германии,58,130,0.4462,2.1
как выжить в газовой камере,58,117,0.4957,1.03
карта концлагерей,58,102,0.5686,1.13
карикатуры на евреев,58,94,0.617,1.0
речь гитлера про евреев,58,79,0.7342,2.09
вторая мировая война все события,58,69,0.8406,1.0
нацистская символика,57,15292,0.0037,7.48
1мировая война,57,3259,0.0175,5.56
освенцим сейчас,57,1273,0.0448,5.48
пакт молотова-риббентропа кратко,57,1223,0.0466,5.18
раздел польши в 1939,57,1218,0.0468,3.38
самые страшные концлагеря,57,269,0.2119,4.1
что означает немецкая свастика,57,268,0.2127,1.34
немецкие лагеря смерти,57,166,0.3434,2.24
протоколы сионских мудрецов читать онлайн,57,163,0.3497,3.93
аншлюс австрии кратко,57,155,0.3677,2.54
страны оси во второй мировой войне,57,153,0.3725,1.0
почему немцы ненавидили евреев,57,129,0.4419,1.37
вторая мировая война этапы,57,121,0.4711,3.38
когда они пришли за,57,104,0.5481,2.54
годы первой мировой войны кто с кем воевал,57,91,0.6264,1.14
гитлер кратко,57,83,0.6867,1.06
нацистский крест,56,12301,0.0046,5.4
карта османской империи,56,4558,0.0123,5.8
гитлер против евреев,56,510,0.1098,1.03
почему немцы напали на ссср,56,411,0.1363,1.25
гитлер во франции,56,304,0.1842,1.29
страны участвующие в первой мировой войне,56,124,0.4516,1.02
сообщение о гитлере,56,96,0.5833,1.0
кого хотел истребить гитлер,56,74,0.7568,1.01
конспект на тему первая мировая война,56,67,0.8358,1.0
геноцид в руанде,55,8492,0.0065,10.16
причины второй мировой войны,55,2400,0.0229,3.93
основные события вов таблица,55,1213,0.0453,6.02
падение османской империи,55,941,0.0584,5.36
вторжение германии в польшу,55,657,0.0837,3.77
из за кого началась первая мировая война,55,416,0.1322,1.01
война 1914 года с кем,55,260,0.2115,1.1
посему гитлер не любил евреев,55,138,0.3986,1.43
за что немцы ненавидели евреев,55,125,0.44,2.37
первая мировая война краткий конспект,55,91,0.6044,1.0
фото холокоста,55,87,0.6322,1.01
какие книги сжигали фашисты,55,71,0.7746,1.0
22 июня 1941,54,17619,0.0031,9.44
освенцим город,54,2957,0.0183,7.97
какие территории потеряла германия после второй мировой войны,54,244,0.2213,2.26
почему западные державы лояльно отнеслись к приходу гитлера к власти,54,151,0.3576,1.0
приход нацистов к власти,54,150,0.36,2.56
кого гитлер считал арийцами,54,148,0.3649,1.72
откуда пошла свастика,54,139,0.3885,1.38
положение в оккупированных странах,54,112,0.4821,1.17
геноцид армян 1915 причины,54,103,0.5243,1.13
количество жертв холокоста,54,103,0.5243,2.88
реферат первая мировая война,54,102,0.5294,1.48
концлагери германии,54,98,0.551,1.06
выступление гитлера видео,54,77,0.7013,1.92
фото гитлера,53,14714,0.0036,4.92
даты первой мировой войны,53,8247,0.0064,7.37
холокост что это,53,2199,0.0241,4.23
еврейские погромы,53,1744,0.0304,4.14
аушвиц-биркенау,53,1186,0.0447,3.97
месячные у женщин в концлагерях,53,781,0.0679,7.17
гимн нацистов,53,603,0.0879,5.75
кто такие россисты,53,159,0.3333,1.44
какой газ использовали в газовых камерах,53,96,0.5521,1.0
холокоста концлагерь,53,93,0.5699,1.66
кто воевал на стороне гитлера,53,88,0.6023,1.01
за что немцы не любили евреев,53,87,0.6092,1.32
первая мировая конспект,53,67,0.791,1.0
символ свастики,52,19872,0.0026,4.02
год рождения гитлера,52,5228,0.0099,1.02
события первой мировой войны,52,2591,0.0201,8.2
территория османской империи,52,2005,0.0259,4.67
холокост простыми словами,52,1337,0.0389,3.45
почему евреев истребляли,52,116,0.4483,1.62
йозеф менгеле эксперименты,52,93,0.5591,1.69
бабий яр история,52,88,0.5909,3.23
фото из освенцима,52,73,0.7123,1.01
когда началась 1 мировая война,51,15504,0.0033,4.97
когда была 2 мировая война,51,3261,0.0156,1.34
когда сша вступили во вторую мировую войну,51,2860,0.0178,3.53
антанта состав,51,1295,0.0394,1.65
годы жизни гитлера,51,1221,0.0418,1.47
антанта кто входил,51,1163,0.0439,1.18
пакт молотова риббентропа кратко,51,860,0.0593,4.89
1915 геноцид армян,51,551,0.0926,1.28
1938 год война,51,520,0.0981,3.42
с кем была 1 мировая война,51,395,0.1291,1.08
периоды второй мировой войны,51,394,0.1294,4.91
до куда дошли немцы в великую отечественную войну,51,231,0.2208,1.04
как фашисты пришли к власти и смогли укрепиться у власти,51,229,0.2227,1.01
страны оси вторая мировая,51,141,0.3617,1.04
причины нападения германии на польшу,51,111,0.4595,1.0
нацистская пропаганда,51,111,0.4595,2.32
нацистские лагеря,51,109,0.4679,2.08
эвианская конференция,51,108,0.4722,2.25
армянский геноцид причины,51,68,0.75,1.0
как сжигали евреев,51,64,0.7969,1.06
когда началась вторая мировая,50,8357,0.006,3.73
лидице,50,1360,0.0368,7.54
геноцид армян дата,50,1200,0.0417,2.81
приход нацистов к власти в германии,50,649,0.077,3.4
бабий яр фото,50,586,0.0853,6.9
с кем воевала россия в первой мировой войне,50,398,0.1256,1.49
олимпиада 1936 почему не участвовал ссср,50,218,0.2294,2.64
бухенвальд лагерь,50,171,0.2924,4.01
нацистский режим в германии,50,138,0.3623,1.93
как начиналась вторая мировая война,50,134,0.3731,3.63
сколько людей погибло в концлагерях,50,114,0.4386,2.96
как мучали детей в концлагерях,50,96,0.5208,1.0
эссе на тему первая мировая война,50,76,0.6579,1.0
какие страны оккупировала германия,50,74,0.6757,1.0
какие страны захватил гитлер по очереди,50,73,0.6849,1.0
сколько гитлер убил людей,50,72,0.6944,1.0
запись речи гитлера,50,63,0.7937,1.44
зачем в концлагерях давали мыло,50,62,0.8065,1.0
нацизм,49,69623,0.0007,9.17
нацист,49,42729,0.0011,7.94
судетская область,49,8859,0.0055,6.47
союзники россии в первой мировой войне,49,2208,0.0222,4.89
освенцум,49,2197,0.0223,3.33
какое из этих государств официально входила в число союзников гитлеровской  германии в годы великой отечественной войны,49,1907,0.0257,1.95
как выглядит гитлер,49,1296,0.0378,2.4
что сделал гитлер,49,718,0.0682,2.56
арийцы немцы,49,638,0.0768,1.57
отрицание холокоста,49,606,0.0809,4.48
международный военный трибунал,49,410,0.1195,2.82
из за чего началась первая мировая,49,225,0.2178,1.14
освобождение дахау,49,194,0.2526,2.18
львовская резня,49,192,0.2552,2.54
война 1917 года кто с кем воевал,49,157,0.3121,1.0
геноцид армянского народа,49,147,0.3333,2.71
олимпиада в берлине 1936 ссср,49,129,0.3798,1.09
вов хронология,49,121,0.405,3.05
периодизация 2 мировой войны,49,118,0.4153,2.54
хрустальная ночь почему так называется,49,106,0.4623,1.02
дети в концлагерях во время войны,49,98,0.5,1.21
зачем гитлер убивал евреев,49,87,0.5632,1.45
каратели вов,49,86,0.5698,1.01
фото узников концлагеря,49,82,0.5976,1.56
пытки нацистов,49,73,0.6712,1.41
концлагеря фото,49,72,0.6806,1.56
как нацисты пришли к власти,49,71,0.6901,1.06
последствия холокоста,49,61,0.8033,1.0
индоктринация,48,18481,0.0026,7.15
росист это,48,4762,0.0101,3.7
конец 2 мировой войны,48,4664,0.0103,4.84
1 я мировая война,48,3250,0.0148,5.79
штрейхер,48,1598,0.03,3.37
mein kamph adolf hitler,48,738,0.065,6.69
когда германия напала на францию,48,518,0.0927,1.54
гитлеровская коалиция,48,292,0.1644,2.72
восстание в варшавском гетто,48,255,0.1882,1.96
мирные договоры первой мировой войны,48,179,0.2682,3.7
первая мировая война история 10 класс,48,125,0.384,1.86
холокост сколько человек погибло,48,123,0.3902,2.19
холокост евреев фото,48,107,0.4486,1.0
карта 3 рейха,48,105,0.4571,1.07
как началась первая мировая,48,101,0.4752,1.09
сначала пришли за коммунистами,48,85,0.5647,2.05
все концлагеря,48,80,0.6,1.16
за что гитлер уничтожал евреев,48,73,0.6575,1.23
почему гитлер нелюбил евреев,48,73,0.6575,1.29
сколько убили евреев,48,72,0.6667,1.64
первая мировая война реферат кратко,48,63,0.7619,1.0
анна франк дневник краткое содержание,48,54,0.8889,1.0
концлагерь это,47,18413,0.0026,8.46
пакт о ненападении,47,9177,0.0051,5.28
повод первой мировой войны,47,7069,0.0066,4.02
маутхаузен,47,4492,0.0105,7.42
арийцы это немцы,47,2088,0.0225,2.13
нацистский оккупационный режим,47,500,0.094,4.98
когда америка вступила в войну с германией,47,456,0.1031,3.91
почему все не любят евреев,47,402,0.1169,4.93
нападение на ссср,47,217,0.2166,1.18
с чего началась 2 мировая война,47,206,0.2282,2.01
вторая мировая война конспект,47,171,0.2749,3.72
доктор йозеф менгеле,47,156,0.3013,2.68
что делали в концлагерях,47,119,0.395,2.58
газовая камера освенцим,47,104,0.4519,2.5
гитлер говорит,47,97,0.4845,1.98
коалиции первой мировой войны,47,86,0.5465,1.43
цыгане в освенциме,47,80,0.5875,1.59
судебные процессы над главными военными преступниками,47,63,0.746,1.0
почему турки резали армян,47,58,0.8103,1.03
адольф гитлер голос,47,57,0.8246,1.19
арийцы: внешность,46,4401,0.0105,8.3
1 сентября 1939 года,46,1309,0.0351,3.42
этапы первой мировой войны,46,1024,0.0449,7.92
укажите день и месяц когда произошло нападение на ссср,46,995,0.0462,1.0
видкун квислинг,46,835,0.0551,3.57
йозеф менгель,46,679,0.0677,2.86
великобритания во второй мировой войне,46,381,0.1207,3.88
программа т-4,46,174,0.2644,2.71
нарастание агрессии в мире в 1930-х гг,46,138,0.3333,2.34
страны которые участвовали в первой мировой войне,46,108,0.4259,1.03
холокост в германии,46,100,0.46,2.87
концлагеря во время второй мировой войны,46,92,0.5,3.2
армяно-турецкая война 1915,46,79,0.5823,1.0
фото из концлагеря освенцим,46,78,0.5897,1.01
первая мировая стороны,46,65,0.7077,1.22
почему преследовали евреев,46,64,0.7188,1.27
геббельс о евреях,46,57,0.807,1.05
геринг,45,29842,0.0015,11.6
что такое гетто,45,13677,0.0033,3.47
2 мировая,45,11583,0.0039,4.84
пакт молотова риббентропа дата,45,3593,0.0125,3.63
антисемітизм,45,2721,0.0165,1.65
майн камф,45,1965,0.0229,5.1
когда гитлер напал на ссср,45,1886,0.0239,1.2
